id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
00137d0a-974e-46e9-99df-732173d4b3b6,backtobasics.gives,available,5.99,,70,10,14,name.com,,
0019fa21-9da7-470c-b32f-8b706b8d4468,ladies.gives,available,5.99,,80,17,6,name.com,,
002c2882-69b1-4ad4-ba88-e6a416350293,asoftenasnot.gives,available,5.99,,40,1,15,name.com,,
003b7e4d-2962-4306-98a0-e1cf46b261eb,reckoned.gives,available,5.99,,50,1,8,name.com,,
0045bc0a-1801-49b4-b9ab-f19be4185cb5,macaroniandcheese.gives,available,5.99,,72,2,19,name.com,,
004fbf41-8372-4b54-b259-fbdc398ba876,woodentruss.gives,available,5.99,,56,1,12,name.com,,
0051bde2-f81f-4f87-835d-da5fdc6e5edd,eyeshadow.gives,available,5.99,,74,3,10,name.com,,
0053d5c9-e1ba-4905-8573-9ba977e02e79,Snickers.gives,available,37.98,,80,10,8,namecheap,,
00544dfa-534f-485c-9f03-7226e378ac2a,withintent.gives,available,5.99,,54,6,11,name.com,,
006b634a-4d8f-4f4d-b7d1-3273fc82c687,stepoff.gives,available,5.99,,68,2,8,name.com,,
00705a78-812f-4ed3-9dfa-50ed3afebcc4,proxyfight.gives,available,5.99,,44,1,11,name.com,,
00932070-d54c-4ab6-89da-3b3a3e0611e1,pricecut.gives,available,5.99,,68,5,9,name.com,,
009ce61b-35f0-4770-8b81-2b65da6fa0b2,goosebumps.gives,available,5.99,,56,12,10,name.com,,
00bccb49-65e0-4182-96ba-367d4d331e8f,Wikipedias.gives,available,37.98,,53,2,10,namecheap,,
00d37fb6-c527-49c3-aa31-19d1fadd4008,letthebuyerbeware.gives,available,5.99,,67,0,20,name.com,,
00dc913b-09d9-450f-b367-3ce03f5094d1,brothers.gives,available,5.99,,60,22,8,name.com,,
00e8f9f6-495c-4795-b748-fd34f4a43322,GodtheHolyGhost.gives,available,37.98,,58,1,18,namecheap,,
00f1f8cf-dd84-4576-b95e-099b4cfb9abb,comeinfor.gives,available,5.99,,76,0,11,name.com,,
01010f24-84f8-448f-b4b1-533b82366afc,disobedience.gives,available,5.99,,64,3,12,name.com,,
0154550b-2a6e-43fe-be9b-b647b2f64ab8,peed.gives,available,5.99,,54,4,4,name.com,,
01ca0058-152e-4276-b607-5ebfecdcd4ea,someoneelse.gives,available,5.99,,54,3,12,name.com,,
01e60d95-0c08-4e6b-be86-2db196f9d533,facilities.gives,available,5.99,,77,10,10,name.com,,
02558ef0-5485-49cb-a316-939f05ed237a,midDecember.gives,available,37.98,,80,1,12,namecheap,,
0257ad3b-c1e9-4bfd-a39a-4d7e82eb07ac,costefficient.gives,available,5.99,,60,1,14,name.com,,
027764b4-7de3-447b-b0cb-e2f48a4304d9,gonuclear.gives,available,5.99,,68,3,10,name.com,,
028c402d-3482-4900-b4dd-743dac5f9181,divineguidance.gives,available,5.99,,57,4,15,name.com,,
02bda04e-b5d5-4acf-b25c-253631ea1588,porkribs.gives,available,5.99,,55,1,9,name.com,,
02c2a107-0fb2-4b59-b4a7-fbf7934b14e9,Christians.gives,available,37.98,,62,15,10,namecheap,,
02d96ce9-98ea-49a5-9883-2616e076981b,predisposition.gives,available,5.99,,62,1,14,name.com,,
02fb2060-cd57-46f5-af7a-1e72d277eb22,platepaper.gives,available,5.99,,66,0,11,name.com,,
0301f26a-af1d-48df-937f-dfe0d5d39fdc,getround.gives,available,5.99,,74,0,9,name.com,,
030b3044-7f85-4d3e-8e97-44ef422af0ab,votes.gives,available,5.99,,60,11,5,name.com,,
03123d3d-ab8a-4d63-9803-1b59b2f0e0c6,hangon.gives,available,5.99,,82,6,7,name.com,,
03187a11-1377-4494-b1d1-f7be36147032,vegetables.gives,available,5.99,,64,8,10,name.com,,
031ccdda-bdf7-4198-b873-687f5a7f24dd,magazines.gives,available,5.99,,60,11,9,name.com,,
031ff804-e076-4661-85bc-c610c689d444,scissored.gives,available,5.99,,64,1,9,name.com,,
032f9579-f81c-40f3-9022-2e75eaf788f9,makethedifference.gives,available,5.99,,72,3,19,name.com,,
033de086-ae0a-45d3-a26e-57e2f0df6f79,sexlife.gives,available,5.99,,74,6,8,name.com,,
0349cb5f-6fe5-42af-979e-047ac9b1d204,studs.gives,available,5.99,,69,7,5,name.com,,
035d51e7-0182-42f7-b4b9-9d133d6adfdb,officekeeper.gives,available,5.99,,45,1,13,name.com,,
038bdbdd-5002-47b1-a95d-2de38d015848,counterfeits.gives,available,5.99,,40,2,12,name.com,,
039efd13-064f-44e4-8836-30c2c3d3a4e1,extends.gives,available,5.99,,54,5,7,name.com,,
03b0631d-d898-4536-b16c-5d72bda21015,centuries.gives,available,5.99,,56,2,9,name.com,,
03b60be6-4311-4f78-b4d1-44a695a7ae9e,OpiumWar.gives,available,37.98,,52,1,9,namecheap,,
03fca9fa-92e4-4ec2-b037-82d800774d07,fundamentalscience.gives,available,5.99,,66,2,19,name.com,,
0442ca7b-d465-4f02-a3f5-09f313187b29,coffeeklatsch.gives,available,5.99,,72,1,14,name.com,,
0454cc50-1e8e-4f9a-986b-03b8a85f55d2,brosbeforehos.gives,available,5.99,,38,1,15,name.com,,
046ade0a-70ad-4fc4-8fbd-5b1bd9df6a5f,getupto.gives,available,5.99,,74,2,9,name.com,,
04810455-fb26-45b6-8fb8-8ff90de8d1b5,sizes.gives,available,5.99,,50,5,5,name.com,,
04acc417-b159-4af1-ad85-7a3a2e7a4682,inprivate.gives,available,5.99,,70,3,10,name.com,,
0510eb42-9720-42f1-a52b-b6c1b3a8c71c,workouts.gives,available,5.99,,59,8,8,name.com,,
054b5a04-240f-4f01-b681-cf8b1738d0dc,hasto.gives,available,5.99,,56,3,6,name.com,,
05607088-c58f-4e0e-b9d2-f590a27e9ad0,intermittently.gives,available,5.99,,48,1,14,name.com,,
056e802f-450e-4ba3-982b-5c20c17d9dae,reads.gives,available,5.99,,54,10,5,name.com,,
058233e0-4ca8-4be4-9dd9-c6ba868a883f,shots.gives,available,5.99,,56,13,5,name.com,,
05af66a9-e500-4c29-a16f-1369d597a0f5,ibanking.gives,available,5.99,,76,7,9,name.com,,
05c0deca-8a1e-491b-b5c3-6c62cfce7a63,YankeeDoodle.gives,available,37.98,,63,2,13,namecheap,,
05c186f2-7d5b-434d-85c5-de65ab8a66d2,alcoholics.gives,available,5.99,,38,4,10,name.com,,
05cb61aa-219f-4b8a-afd8-6bba513f6538,returns.gives,available,5.99,,72,16,7,name.com,,
0668a048-0eca-42ac-bef7-3a847ef0e2f4,radios.gives,available,5.99,,55,13,6,name.com,,
0673587e-b6b4-4fb4-8df4-1ceb2286b3af,getready.gives,available,5.99,,88,11,9,name.com,,
068b531d-ed60-49b8-9a3f-7a521a79662f,fires.gives,available,5.99,,46,10,5,name.com,,
06d798b7-dacc-443a-b54c-e8da0880945e,uploadability.gives,available,5.99,,60,1,13,name.com,,
07100a85-91d0-4a02-b12d-de1b215e3814,modernschool.gives,available,5.99,,48,2,13,name.com,,
0716264c-e166-4775-8d83-138eb63c2ea7,hats.gives,available,5.99,,65,15,4,name.com,,
072fbd1b-0c44-4505-86a1-57cbfb1f39b6,overanxious.gives,available,5.99,,64,1,12,name.com,,
074808ee-ea82-4257-b940-1c23ae66ba57,wrinkles.gives,available,5.99,,55,4,8,name.com,,
075abf65-0be6-4855-9b6c-b73526d83a0c,propranolol.gives,available,5.99,,68,5,11,name.com,,
0773859f-71d3-4676-8050-3234d63f42d0,breasts.gives,available,5.99,,50,9,7,name.com,,
077f8443-7e20-4e5a-ad17-f068ced5ef40,comes.gives,available,5.99,,70,8,5,name.com,,
07f336b5-be4e-4fab-9e62-c92d367af607,Godresthissoul.gives,available,37.98,,44,1,17,namecheap,,
07f9501c-199b-423a-a2fa-f3f36d69422a,failed.gives,available,5.99,,60,11,6,name.com,,
0800a3cd-3a18-4d6e-82c5-340773097bb7,swaps.gives,available,5.99,,50,10,5,name.com,,
0847cc45-4b8a-4f3b-9be3-44f0f63cbd64,gobelow.gives,available,5.99,,72,0,8,name.com,,
088e58eb-5378-4014-9440-d506fa2778b6,datafeed.gives,available,5.99,,70,7,9,name.com,,
08a8fb2f-4a2a-4d8a-b79c-36e83743c036,makethefinalcut.gives,available,5.99,,50,1,18,name.com,,
08c54215-4706-4a81-9027-4808c6dad95b,chairs.gives,available,5.99,,54,11,6,name.com,,
08c57a66-0cbb-40a2-9e58-86d24ca9ce52,LunarNewYear.gives,available,37.98,,72,3,14,namecheap,,
08e2f120-e24a-45b6-8376-0fd890758ef9,commonleopard.gives,available,5.99,,46,0,14,name.com,,
09196e13-13b9-4ff1-a5a8-f405d2ee496c,overrated.gives,available,5.99,,60,6,10,name.com,,
09274e14-b177-4915-9ff1-372f5b5d25f6,scallops.gives,available,5.99,,52,3,8,name.com,,
095d8105-0e79-4d7b-9e52-ef999ed1ec9a,muscletone.gives,available,5.99,,77,2,11,name.com,,
09ba3d21-c706-489e-9e96-16e010a277c5,havenobusiness.gives,available,5.99,,60,1,16,name.com,,
09c29564-48aa-4a05-a443-fd7acabe2f71,aquestionof.gives,available,5.99,,52,1,13,name.com,,
09d4921b-a64e-45a0-a3c2-fe5aec8f25af,newsarticle.gives,available,5.99,,46,2,12,name.com,,
09db3f95-7aea-420f-b06f-f64fb419e73e,leaveoff.gives,available,5.99,,72,1,9,name.com,,
09f4d649-69d4-4c1f-b3fa-78d4d3d79703,officecleaner.gives,available,5.99,,41,1,14,name.com,,
0a01c192-1db2-4665-9cb7-3d48a7f6cf89,showin.gives,available,5.99,,72,4,7,name.com,,
0a240fc2-c0bb-4022-a413-6a832eb49351,tales.gives,available,5.99,,72,14,5,name.com,,
0a5c1ab0-4d04-4f18-874d-adbbc2324519,businesses.gives,available,5.99,,60,12,10,name.com,,
0a6462cc-0b28-4589-b167-c6d5bb7f49e5,publicopinion.gives,available,5.99,,70,7,14,name.com,,
0a6f6352-c285-417a-a523-1ec0bb965026,cups.gives,available,5.99,,60,12,4,name.com,,
0a786d91-a4f8-4da8-8d7b-15bda89f36a6,calls.gives,available,5.99,,50,16,5,name.com,,
0a8228ad-0b98-49df-8505-2990c5e6a436,longterm.gives,available,5.99,,72,10,9,name.com,,
0a873702-7698-4b49-9ba0-87f2460aca69,daydreams.gives,available,5.99,,62,10,9,name.com,,
0a92e641-b04d-48bf-a993-2c3e81286942,GeneralTaochicken.gives,available,37.98,,70,1,19,namecheap,,
0aa18306-8c88-4b9d-aef7-c0e80fc88c41,runners.gives,available,5.99,,78,16,7,name.com,,
0ab10978-2913-4cf6-9dc7-e56e521b4571,makefirstbase.gives,available,5.99,,42,1,15,name.com,,
0ac9658b-0198-4103-9d18-b0595a98c807,gofar.gives,available,5.99,,76,10,6,name.com,,
0afa2edc-250c-4849-99f9-3eb2756a4ee9,coffeeberry.gives,available,5.99,,80,4,12,name.com,,
0b1058e1-fb23-4180-9f86-434be010cfa2,gowithGod.gives,available,37.98,,68,2,11,namecheap,,
0b2528eb-54a2-42b8-b529-d348e1113692,manycore.gives,available,5.99,,68,3,8,name.com,,
0b350613-296b-4530-98d6-c5893b85f36c,seekfor.gives,available,5.99,,74,2,8,name.com,,
0b365784-4e69-45f6-bf25-60e8aea2f83d,nailed.gives,available,5.99,,58,6,6,name.com,,
0b880ced-c07a-41f9-9053-aafab6e66e69,runon.gives,available,5.99,,67,4,6,name.com,,
0b92ed0b-4945-4031-b607-6adc45299b71,toburn.gives,available,5.99,,50,1,7,name.com,,
0b94caea-4c3b-41d0-8528-1af77e6849d3,strips.gives,available,5.99,,51,7,6,name.com,,
0bca9f8b-2487-4029-b950-dda7d148b94d,trends.gives,available,5.99,,60,32,6,name.com,,
0bf7ba7e-643b-46fa-9e0a-0c3590303bd0,shouts.gives,available,5.99,,47,5,6,name.com,,
0c1e8f40-7a03-49a2-8831-995938ad8b40,makes.gives,available,5.99,,66,17,5,name.com,,
0c3233e6-a430-4b12-96c4-fad20045deb6,parkin.gives,available,5.99,,59,8,7,name.com,,
0c408be5-b3d4-4304-b729-81b22a9460bc,Ineedaguide.gives,available,37.98,,50,1,14,namecheap,,
0c7402d6-fa9a-44e3-8114-7c68862ef7e3,origins.gives,available,5.99,,46,22,7,name.com,,
0c81b5f9-cbb4-42b2-8e71-fbfd3b33b209,gototherestroom.gives,available,5.99,,56,1,18,name.com,,
0c963f27-1b39-4fb3-8c93-e9121df9a4ee,roses.gives,available,5.99,,68,16,5,name.com,,
0cbb4ce1-9b4e-4655-9809-f9e0b450aa46,inthelongterm.gives,available,5.99,,60,1,16,name.com,,
0d3d59ca-2d99-44a2-9cbc-de9f6daed73b,gonegative.gives,available,5.99,,66,1,11,name.com,,
0d47bee6-569c-45f7-a33e-be193e71e338,dowell.gives,available,5.99,,76,12,7,name.com,,
0d91ab5a-f7ab-4371-aff7-939d8c68c7ff,ambitions.gives,available,5.99,,64,7,9,name.com,,
0da4c1ed-f7c3-46e9-9e57-5857804e7014,semifinal.gives,available,5.99,,72,2,10,name.com,,
0db71611-df93-48c5-82d8-a68e8a789686,parkertruss.gives,available,5.99,,48,1,12,name.com,,
0dce47ce-961c-42ef-9148-a721ec893bb7,ratings.gives,available,5.99,,53,19,7,name.com,,
0e0a20f7-5d3a-4374-9562-68c6386fa6b4,cloves.gives,available,5.99,,60,5,6,name.com,,
0e12c26f-7eb8-41f1-90c4-93f3af2987b0,hasone.gives,available,5.99,,54,1,7,name.com,,
0e1a223d-a9bf-4d2b-b380-e914d5f44145,standupguy.gives,available,5.99,,72,2,12,name.com,,
0e24af0f-ed59-4839-be72-884a153adb84,ChildJesus.gives,available,37.98,,56,2,11,namecheap,,
0e272bd9-c496-4f34-a2df-328049359a66,additions.gives,available,5.99,,58,4,9,name.com,,
0e3b071a-545c-48ef-a672-14e44e859224,iftheshoefits.gives,available,5.99,,55,3,16,name.com,,
0e77d27e-0593-4435-950f-39ccf4918780,sellthrough.gives,available,5.99,,64,2,12,name.com,,
0e88ee41-488f-4fa1-962b-22611e559347,profitability.gives,available,5.99,,76,8,13,name.com,,
0ed60283-0173-4180-97f3-fd20d845e4f6,takehuff.gives,available,5.99,,64,1,9,name.com,,
0f0f5d66-df90-4328-85be-be3f6cc792da,macandcheese.gives,available,5.99,,72,4,14,name.com,,
0f136dcc-2acc-43d9-9e9f-bd9a9d58161f,gohome.gives,available,5.99,,76,14,7,name.com,,
0f21cf98-6bcb-4085-b869-976848916b7a,Ineedtovomit.gives,available,37.98,,50,1,15,namecheap,,
0f474430-6ea2-432c-98a2-e7706aaf29f1,publichealth.gives,available,5.99,,72,13,13,name.com,,
0fb9dd62-44ba-43de-b893-6860db35cbe2,keepsomebodyposted.gives,available,5.99,,46,0,20,name.com,,
0fd2a6e4-1e5d-4995-99e6-a50b7c73f404,pizzatopping.gives,available,5.99,,48,1,13,name.com,,
0fefad4b-20db-4aed-ab42-6e5c1ac56231,actions.gives,available,5.99,,54,15,7,name.com,,
101fa7ac-b192-4a52-9e97-02d842a8e786,positions.gives,available,5.99,,48,7,9,name.com,,
106538f8-281d-40df-a8f9-f8e00dc85bfc,ties.gives,available,5.99,,59,9,4,name.com,,
10957a62-bc7d-41d5-880a-6dd8668d69bc,goingto.gives,available,5.99,,56,6,8,name.com,,
10b1ddb4-6b22-43b9-a055-35daabb0fd21,praises.gives,available,5.99,,56,3,7,name.com,,
10c00941-70b1-4380-b8dc-af89c1f63ed1,onstage.gives,available,5.99,,64,14,8,name.com,,
11061672-210a-4101-be3f-94fc023d7bc4,makesomethingof.gives,available,5.99,,70,0,17,name.com,,
11274cab-f845-4d80-8458-2dc972c2160c,inoperation.gives,available,5.99,,74,1,12,name.com,,
112dd81f-6ecb-462f-8151-b76a4691acca,dues.gives,available,5.99,,70,6,4,name.com,,
1151da10-51ad-4e69-bdc9-47cbadb09b4e,sqft.gives,available,5.99,,72,9,5,name.com,,
1180995a-11c3-4c59-bdca-3f24b2ea5a4f,goround.gives,available,5.99,,68,3,8,name.com,,
11d603be-aa8a-44e2-a417-22ee83c67847,reflexes.gives,available,5.99,,55,4,8,name.com,,
11e85a6d-2f79-4428-ba24-68e52f6d801d,pizzaslice.gives,available,5.99,,56,4,11,name.com,,
11f50a8a-8258-4de1-8d2d-71d18d4a84ac,Alexis.gives,available,5.99,,72,21,6,name.com,,
11f9ca2f-b4d0-4982-ba78-9777ba2c408b,lostandfound.gives,available,5.99,,64,19,14,name.com,,
11fee2c2-d3c5-44ee-b793-20af26efd4e4,proceeded.gives,available,5.99,,60,2,9,name.com,,
1201df63-10d9-4c80-a9d4-1af8e819d97c,chickenroll.gives,available,5.99,,76,2,12,name.com,,
12670789-a13c-4de3-aa79-fd970b93955f,commonstock.gives,available,5.99,,68,3,12,name.com,,
129b8681-8b73-4faa-9816-c07608d04acf,keepwatch.gives,available,5.99,,70,5,10,name.com,,
12a444c3-1d63-41d9-9baf-f6f255a1622e,comeround.gives,available,5.99,,76,1,10,name.com,,
12ac1ddd-ca1c-42b5-9779-c2a81eba61a6,pastasauce.gives,available,5.99,,79,2,11,name.com,,
12cae9ff-9b9c-4259-b7f5-3390023b150d,manycolored.gives,available,5.99,,54,0,12,name.com,,
12d114f4-4067-4935-a60a-a14792f34991,eachway.gives,available,5.99,,68,2,8,name.com,,
12da78ba-9f63-431c-a141-4ff83c13d5f4,servants.gives,available,5.99,,54,4,8,name.com,,
133d7682-6eed-41da-8e3a-d9d703554f81,languages.gives,available,5.99,,62,12,9,name.com,,
135efc8c-47b9-4740-a774-b233504a7171,scenes.gives,available,5.99,,54,8,6,name.com,,
13868225-6b8f-4a99-96ff-335e691e4640,stadia.gives,available,5.99,,66,22,6,name.com,,
1396b124-fb4a-4b31-97a8-4f9d5b03d2b7,comeintoplay.gives,available,5.99,,70,1,14,name.com,,
1397680f-5500-4074-9a53-df8b8f33f9d5,complaints.gives,available,5.99,,40,9,10,name.com,,
13c0b34d-e417-413e-bc31-d97de6365ed6,tryon.gives,available,5.99,,77,13,6,name.com,,
13d8060a-0ddd-4c16-be12-4992e4f5afb0,entered.gives,available,5.99,,50,4,7,name.com,,
13e91778-4558-486d-933b-8ae67f46eaf0,excitingness.gives,available,5.99,,68,1,12,name.com,,
13f3d0be-e976-4f4b-8e3d-1068bcb89633,childdevelopment.gives,available,5.99,,48,4,17,name.com,,
13f7b6c0-15d8-419a-85ef-45c1d6847a9e,desires.gives,available,5.99,,72,9,7,name.com,,
1402b368-7427-4e13-ab23-14886849fd13,conductcode.gives,available,5.99,,50,1,12,name.com,,
144dc002-0239-4081-a91c-22ab5a323d6b,railways.gives,available,5.99,,51,6,8,name.com,,
14687368-9068-427b-a6ca-a7d9ad1f3b8d,farmers.gives,available,5.99,,54,59,7,name.com,,
